ETIQUETA;NOMBRE;PRIORIDAD;PROYECTO;TIPO ACTUACIÓN;COORDENADA X;COORDENADA Y;Longitud;Latitud
AO.21.03;Ordenación recintos feriales y depósitos de AENA;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;450872,036;4479683,886;-3.5795006;40.4663775
IT.14.02;Moratalaz Promoción Privada;2017-2020;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;444697,427;4472973,169;-3.6517464;40.4055356
AG.18.03;Colonia Urpisa;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;447390,25;4470252,108;-3.6197883;40.381197
AG.17.02;Colonia Quinta del Pilar;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;441413;4466647,461;-3.6898697;40.3483254
AG.19.02;Ambroz;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;448371,45;4473223,295;-3.6084704;40.4080248
AG.21.02;Colonia Juan de la Cierva;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;450421;4480117,415;-3.5848546;40.4702562
AG.16.03;Poblado Dirigido de Canillas;2020-2024;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;444898,05;4479281,951;-3.6499292;40.4623818
IT.18.01;Del Cerro a la Gavia tejiendo barrios;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;447690,116;4470063,523;-3.6162403;40.3795169
IT.19.01;Caminando Vicálvaro;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;448835,495;4472363,067;-3.6029325;40.400304
AG.17.03;San Nicolás - Arechavaleta;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;440869,1;4467006,058;-3.696307;40.3515175
IT.17.01;Conexión Villaverde - Río;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;440701,4;4466720,185;-3.6982551;40.3489302
IT.11.01;Parque San Isidro - Madrid Río;2017-2020;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;438833,875;4471844,8;-3.7207356;40.3949606
IT.11.02;Mercedes Arteaga - Jacinto Verdaguer;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;439034,2765;4471882,39;-3.718378;40.3953139
IT.21.01;"Acercando ""El Capricho""";2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;450250,7135;4479399,477;-3.586807;40.4637783
AO.10.01;Colonia de los Olivos;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;437573,5655;4472939,728;-3.7356924;40.4047307
AO.10.02;Ermita del Santo;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;438251,8025;4472943,086;-3.7277004;40.4048115
AO.08.03;CLESA;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;441055,51;4482328,455;-3.6955322;40.4895623
AO.08.04;Dotaciones Públicas en el entorno del cementerio de Fuencarral;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;440630,126;4484387,156;-3.7007442;40.5080775
AO.13.02;Actividad Económica La Arboleda;2017-2020;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;446717,2625;4470850,451;-3.6277663;40.3865445
AO.10.03;Meaques;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;434160,6615;4472117,725;-3.775825;40.3970628
AO.10.04;General Fanjul;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;434018,684;4470485,526;-3.7773288;40.3823482
AO.10.05;Intercambiador de Aluche;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;435603,245;4470694,852;-3.7586836;40.3843578
IT.06.04;Marqués de Viana - Paseo de la Dirección;2024-2028;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;440353,954;4479413,783;-3.7035358;40.4632556
IT.12.02;Tejiendo Usera;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;439883,224;4468963,924;-3.7081001;40.3690845
IT.10.01;Del Río a la Cuña Verde;2017-2020;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;437639,0525;4473339,556;-3.73496;40.4083374
IT.10.02;Unión Cuñas Verdes de Latina;2024-2028;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;436945,492;4472401,243;-3.7430404;40.3998324
MP.06.03;Valdeacederas;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;440772,2095;4479621,742;-3.6986221;40.4651589
MP.06.04;Berruguete;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;440240,8665;4479065,733;-3.7048367;40.4601121
IT.13.02;Miradores;2017-2020;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;443739,248;4470491,273;-3.6628187;40.383113
AG.13.05;Numancia;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;443944,35;4472162,69;-3.6605496;40.398184
MP.13.02;Barrio San Diego;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;443497,699;4470446,767;-3.6656603;40.3826958
AO.17.02;Villaverde - Cruce;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;441445,763;4466507,44;-3.6894712;40.3470663
AO.15.01;Hospital del Aire;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;445453,65;4477345,889;-3.64321;40.4449774
AO.15.02;La Elipa - Avenida Trece Rosas;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;444922,2045;4474652,998;-3.6492431;40.4206834
MP.15.01;Pueblo Nuevo - Quintana;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;445030,473;4476026,57;-3.6480857;40.4330644
MP.15.03;Parque San Juan Bautista;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;444290,2975;4477938,254;-3.6569793;40.4502366
AG.15.01;Barrio San Pascual;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;444746,8;4477111,491;-3.6515243;40.4428192
